frame,time,active_links,max_possible_links,link_fraction,total_link_distance,mean_link_distance,normalized_distance_sum,link_score,receiver_count,covered_receivers,coverage_fraction,mean_nearest_receiver_distance,max_nearest_receiver_distance,receiver_penalty,worst_receiver_penalty,blended_receiver_penalty,base_score,score,running_score
14,155.6420233463035,52,435,0.11954022988505747,177473.75120229763,3412.956753890339,35.49475024045953,0.08159712698956215,100,74,0.74,1773.228101409573,inf,0.5224377590086168,1.0,0.7612188795043084,0.16018912374262684,0.37040047280935656,0.3837322672376836
15,166.7593107281823,53,435,0.12183908045977011,182396.08378327114,3441.4355430805876,36.47921675665423,0.08386026840610168,100,76,0.76,1799.66121410722,inf,0.5135485045442976,1.0,0.7567742522721488,0.16354300806697641,0.38040885752016745,0.38352455413033887
16,177.8765981100611,54,435,0.12413793103448276,187303.90646280223,3468.5908604222636,37.46078129256045,0.08611673860358723,100,77,0.77,1809.7333998471177,inf,0.5086989435764562,1.0,0.7543494717882281,0.1658836334076796,0.3854147090835192,0.38363573971582005
17,188.99388549193992,54,435,0.12413793103448276,187203.17511851524,3466.7254651576895,37.440635023703045,0.08607042534184609,100,78,0.78,1822.304618292381,inf,0.5042795204536116,1.0,0.7521397602268058,0.1669653325575201,0.3904174133313938,0.3840124993611297
18,200.11117287381873,53,435,0.12183908045977011,182106.59134529214,3435.9734216092857,36.42131826905844,0.0837271684346171,100,78,0.78,1821.6781013197597,inf,0.5041817838058825,1.0,0.7520908919029412,0.1658181382658379,0.3904145453456646,0.3843494491497894
19,211.22846025569754,53,435,0.12183908045977011,181991.16871563168,3433.7956361439938,36.39823374312634,0.08367410055891113,100,78,0.78,1822.2550106743658,inf,0.504271781665201,1.0,0.7521358908326006,0.16576910486315533,0.3904144227621579,0.3846526978304078
20,222.34574763757635,53,435,0.12183908045977011,181903.2369194999,3432.1365456509416,36.38064738389999,0.08363367214689653,100,77,0.77,1811.8264248857824,inf,0.5090212694324106,1.0,0.7545106347162053,0.16456151871534558,0.3854114037967884,0.3846888266859497
21,233.46303501945516,52,435,0.11954022988505747,176840.27387327366,3400.774497562955,35.36805477465473,0.08130587304518329,100,77,0.77,1813.3180939286433,inf,0.5092509864650111,1.0,0.7546254932325056,0.1633401899063388,0.38540835047476585,0.3847215323127141
22,244.58032240133397,53,435,0.12183908045977011,181688.34762625612,3428.082030684078,36.33766952525122,0.0835348724718419,100,74,0.74,1765.9087871492873,inf,0.5213545004980945,1.0,0.7606772502490473,0.16142881111139729,0.3704035720277785,0.3840990123003256
23,255.69760978321278,53,435,0.12183908045977011,181562.83548812274,3425.713877134391,36.312567097624544,0.08347716574166562,100,74,0.74,1765.5741292659163,inf,0.5213049711313557,1.0,0.7606524855656778,0.16141234008799388,0.37040353085022,0.3835283672399046
