frame,time,active_links,max_possible_links,link_fraction,total_link_distance,mean_link_distance,normalized_distance_sum,link_score,receiver_count,covered_receivers,coverage_fraction,mean_nearest_receiver_distance,max_nearest_receiver_distance,receiver_penalty,worst_receiver_penalty,blended_receiver_penalty,base_score,score,running_score
10,1117.31843575419,54,435,0.12413793103448276,191894.5150021348,3553.6021296691633,38.37890300042695,0.0882273632193723,100,78,0.78,1726.2356319012372,inf,0.489292758576593,1.0,0.7446463792882965,0.17179049196553786,0.39042947622991386,0.3963367435616071
11,1229.0502793296089,56,435,0.12873563218390804,202869.1653855502,3622.663667599111,40.573833077110045,0.0932731794876093,100,76,0.76,1722.2027188304708,inf,0.5017748132622316,1.0,0.7508874066311158,0.17119288642824682,0.3804279822160706,0.39501101344947903
12,1340.7821229050278,52,435,0.11954022988505747,183259.12596921253,3524.2139609463948,36.65182519384251,0.08425706941113222,100,77,0.77,1739.810759604431,inf,0.4979308569790824,1.0,0.7489654284895412,0.1676458204607955,0.385419114551152,0.39427317507268467
13,1452.5139664804467,52,435,0.11954022988505747,182161.9868404649,3503.115131547402,36.43239736809298,0.08375263762779996,100,78,0.78,1758.903691353154,inf,0.49438897585109204,1.0,0.747194487925546,0.16827907485112698,0.39042069768712784,0.3939979981165735
14,1564.2458100558656,52,435,0.11954022988505747,181455.41882432954,3489.5272850832603,36.29108376486591,0.08342777876980668,100,83,0.83,1838.1080743854343,inf,0.475125940347982,1.0,0.737562970173991,0.1729324042979079,0.4154323310107447,0.3954269536428516
15,1675.9776536312845,51,435,0.11724137931034483,176284.78847517137,3456.564479905321,35.25695769503428,0.08105047745984892,100,78,0.78,1779.3792319054994,inf,0.4975831601772579,1.0,0.7487915800886289,0.16612944868560997,0.39041532362171405,0.3951137267665305
16,1787.7094972067034,55,435,0.12643678160919541,199608.45831206985,3629.244696583088,39.92169166241397,0.0917740038216413,100,77,0.77,1740.972514923171,inf,0.4981097672981683,1.0,0.7490548836490841,0.17135956008627856,0.3854283989002157,0.3945440015979238
17,1899.4413407821223,48,435,0.1103448275862069,166378.93443610345,3466.227800752155,33.27578688722069,0.07649606180970274,100,81,0.81,1806.664105777531,inf,0.48267958513596,1.0,0.74133979256798,0.1675781346208614,0.4054189453365522,0.3951481651389587
18,2011.1731843575412,46,435,0.10574712643678161,157727.96987640407,3428.8689103566103,31.545593975280806,0.072518606839726,100,80,0.8,1792.4853763115564,inf,0.48679766020984905,1.0,0.7433988301049246,0.16455988836740076,0.40041139972091855,0.39542517748537764
19,2122.9050279329604,43,435,0.09885057471264368,144020.07568890916,3349.304085788585,28.804015137781825,0.06621612675352144,100,79,0.79,1774.4679881000604,inf,0.49036594211980966,1.0,0.7451829710599048,0.16051657784680834,0.39540129144461705,0.3954239831833396
20,2234.6368715083795,45,435,0.10344827586206896,155046.08354410052,3445.468523202234,31.0092167088201,0.07128555565246,100,78,0.78,1742.2284075476514,inf,0.4917876315774336,1.0,0.7458938157887168,0.16269586993187163,0.3904067396748297,0.3951850668257916
21,2346.3687150837986,47,435,0.10804597701149425,164430.1770636026,3498.514405608566,32.886035412720524,0.07560008140855293,100,78,0.78,1745.8387001419283,inf,0.49235083722214085,1.0,0.7461754186110704,0.16471233139874125,0.39041178082849687,0.39496809928046
22,2458.1005586592178,45,435,0.10344827586206896,153244.68788819946,3405.4375086266546,30.648937577639884,0.0704573277646894,100,80,0.8,1779.6730857783755,inf,0.4847476937245401,1.0,0.74237384686227,0.16404174045120967,0.40041010435112806,0.395204708196576
23,2569.832402234637,48,435,0.1103448275862069,166559.8808751572,3469.9975182324415,33.31197617503145,0.07657925557478494,100,75,0.75,1716.394633337188,inf,0.5074591950005781,1.0,0.7537295975002891,0.16142482903724786,0.3754035620725931,0.39437966044141004
